player_code,tm_player_id,fpl_name,tm_name
175353,346472,Ayotomiwa Dele-Bashiru,Tom Dele-Bashiru
178173,307497,Matthew Clarke,Matt Clarke
179018,272999,Miguel Almirón Rejala,Miguel Almirón
180974,333241,Joelinton Cássio Apolinário de Lira,Joelinton
183656,340321,Pelenda Joshua Dasilva,Josh Dasilva
185253,330085,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa
189627,295630,Dimitris Giannoulis,Dimitrios Giannoulis
189776,289510,Samuel Bastien,Samuel Bastien
194634,340950,Diogo Teixeira da Silva,Diogo Jota
195471,503683,Anthony Driscoll-Glennon,Anthony Glennon
195774,337800,Gedson Carvalho Fernandes,Gedson Fernandes
197464,371814,Nathaniel Phillips,Nat Phillips
200088,346482,Daniel N'Lundulu,Dan Nlundulu
200428,345437,Mateusz Lis,Mateusz Lis
200600,256977,Daniel Castelo Podence,Daniel Podence
201440,260166,Hwang Ui-jo,Hwang Ui-jo
201595,352041,Lucas Estella Perri,Lucas Perri
203325,354361,André-Frank Zambo Anguissa,Frank Anguissa
204043,362842,Arthur Henrique Ramos de Oliveira Melo,Arthur Melo
204214,349599,Pervis Estupiñán Tenorio,Pervis Estupiñán
204642,360517,Jay-Roy Grot,Jay-Roy Grot
208904,407021,Mads Juel Andersen,Mads Andersen
208998,406558,Zeze Steven Sessegnon,Steven Sessegnon
209362,364258,Bernardo Fernandes da Silva Junior,Bernardo
209925,258011,Xande Nascimento da Costa Silva,Xande Silva
212721,379807,Lyanco Evangelista Silveira Neves Vojnovic,Lyanco
213345,381362,Wesley Moraes Ferreira da Silva,Wesley Moraes
214987,237632,Kamil Miazek,Kamil Miazek
215460,392763,Ian Carlo Poveda-Ocampo,Ian Poveda
215476,393325,Joshua Sargent,Josh Sargent
216051,357147,José Diogo Dalot Teixeira,Diogo Dalot
216054,357158,Rúben Gonçalo Silva Nascimento Vinagre,Rúben Vinagre
217487,182201,Mbwana Ally Samatta,Mbwana Samatta
217593,357885,Pablo Fornals Malla,Pablo Fornals
219279,405385,Sugawara Yukinari,Sugawara Yukinari
219961,411295,Raphael Dias Belloli,Raphina
220307,355861,Arnaut Danjuma Groeneveld,Arnaut Danjuma
220566,357565,Rodrigo 'Rodri' Hernandez Cascante,Rodri
220684,502065,Ajibola Alese,Aji Alese
221389,432914,John Victor Maciel Furtado,John Victor
221403,417348,Richie Laryea,Richie Laryea
221466,469781,Marcos Senesi Barón,Marcos Senesi
222564,412669,Francisco Machado Mota de Castro Trincão,Francisco Trincão
223175,484387,Matthew Longstaff,Matty Longstaff
223723,331560,Tomiyasu Tomiyasu,Takehiro Tomiyasu
224024,444523,Lucas Tolentino Coelho de Lima,Lucas Paqueta
224209,369684,Rasmus Kristensen,Rasmus Nissen Kristensen
224995,512385,Luis Sinisterra Lucumí,Luis Sinisterra
225295,371256,Mateus Cardoso Lemos Martins,Tetê
227560,409106,Oghenekaro Peter Etebo,Peter Etebo
230046,447661,Douglas Luiz Soares de Paulo,Douglas Luiz
231480,438001,Santiago Ignacio Bueno,Santiago Bueno
232241,528894,Matthew Smith,Matt Smith
232351,504581,Ryan John Giles,Ryan Giles
232820,511551,Joe Anderson,Joe Anderson
232881,461882,Thakgalo Leshabela,Khanya Leshabela
232977,484389,Kelland Watts,Kell Watts
233420,476352,Renan Augusto Lodi dos Santos,Renan Lodi
234370,336869,Marc Roca Junqué,Marc Roca
235546,390664,Jacob Sørensen,Jacob Lungi Sørensen
240299,503975,Joseph Hodge,Joe Hodge
240796,453704,Álvaro Fernández,Álvaro Ferllo
241157,476344,Emerson Aparecido Leite de Souza Junior,Emerson Royal
461566,640245,William Fish,Will Fish
461558,596216,Maxwell Haygarth,Max Haygarth
461080,704801,Joseph McGlynn,Joe McGlynn
461584,670988,Wanya Marçal-Madivádua,Wanya Marçal
461682,631996,Brandon Aguilera Zamora,Brandon Aguilera
465299,677311,Anthony Mancini,Anthony Gomez-Mancini
465527,607224,Hannibal Mejbri,Hannibal
474120,660867,Julio Enciso Espínola,Julio Enciso
475123,641458,Carlos Miguel dos Santos Pereira,Carlos Miguel
475480,657817,Benicio Baker-Boaitey,Benicio Baker
477580,659089,Illia Zabarnyi,Ilya Zabarnyi
478028,668265,Kayky da Silva Chagas,Kayky
482973,432164,Igor Jesus Maciel da Cruz,Igor Jesus
483067,650568,António João Pereira de Albuquerque Tavares da Silva,António Silva
487818,670840,Joseph Whitworth,Joe Whitworth
487835,670846,Benjamin Chrisene,Ben Chrisene
488404,676318,Facundo Pellistri Rebollo,Facundo Pellistri
490721,698678,Hugo Bueno López,Hugo Bueno
491008,670713,Diogo Pinheiro Monteiro,Diogo Monteiro
491011,655006,Diego Manuel Jadon da Silva Moreira,Diego Moreira
491012,670688,Youssef Ramalho Chermiti,Youssef Chermiti
492779,706947,Yago de Santiago Alonso,Yago Santiago
498046,559330,Salah-Eddine Oulad M'hand,Salah Oulad
499604,1012564,Rayan Vitor Simplício Rocha,Rayan
502500,739443,Igor Thiago Nascimento Rodrigues,Igor Thiago
502697,748319,Carlos Alcaraz Durán,Carlos Alcaraz
504198,546712,Anis Slimane,Anis Ben Slimane
510281,743591,Sávio 'Savinho' Moreira de Oliveira,Savinho
515023,817611,Matthew Dibley-Dias,Matt Dibley-Dias
515501,811778,Álvaro Fernández Carreras,Álvaro Carreras
515571,646738,Juan Larios López,Juan Larios
515621,689637,Chadi Riad Dnanou,Chadi Riad
